"System","Type","Name","SubName","Datatype","Description"
"ZohoCRM","account","Account_Name","","string",""
"ZohoCRM","account","Account_Number","","string",""
"ZohoCRM","account","Account_Site","","None",""
"ZohoCRM","account","Account_Type","","string",""
"ZohoCRM","account","Annual_Revenue","","integer",""
"ZohoCRM","account","Billing_City","","string",""
"ZohoCRM","account","Billing_Code","","string",""
"ZohoCRM","account","Billing_Country","","string",""
"ZohoCRM","account","Billing_State","","string",""
"ZohoCRM","account","Billing_Street","","string",""
"ZohoCRM","account","Created_By.email","","string",""
"ZohoCRM","account","Created_By.id","","string",""
"ZohoCRM","account","Created_By.name","","string",""
"ZohoCRM","account","Created_Time","","string",""
"ZohoCRM","account","Description","","string",""
"ZohoCRM","account","Employees","","integer",""
"ZohoCRM","account","Enrich_Status__s","","None",""
"ZohoCRM","account","Fax","","None",""
"ZohoCRM","account","Industry","","string",""
"ZohoCRM","account","Last_Activity_Time","","string",""
"ZohoCRM","account","Last_Enriched_Time__s","","None",""
"ZohoCRM","account","Modified_By.email","","string",""
"ZohoCRM","account","Modified_By.id","","string",""
"ZohoCRM","account","Modified_By.name","","string",""
"ZohoCRM","account","Modified_Time","","string",""
"ZohoCRM","account","Owner.email","","string",""
"ZohoCRM","account","Owner.id","","string",""
"ZohoCRM","account","Owner.name","","string",""
"ZohoCRM","account","Ownership","","string",""
"ZohoCRM","account","Parent_Account","","None",""
"ZohoCRM","account","Phone","","string",""
"ZohoCRM","account","Rating","","None",""
"ZohoCRM","account","Record_Image","","string",""
"ZohoCRM","account","SIC_Code","","None",""
"ZohoCRM","account","Shipping_City","","None",""
"ZohoCRM","account","Shipping_Code","","None",""
"ZohoCRM","account","Shipping_Country","","None",""
"ZohoCRM","account","Shipping_State","","None",""
"ZohoCRM","account","Shipping_Street","","None",""
"ZohoCRM","account","Ticker_Symbol","","None",""
"ZohoCRM","account","Website","","string",""
"ZohoCRM","account","id","","string",""
"ZohoCRM","contact","Account_Name.id","","string",""
"ZohoCRM","contact","Account_Name.name","","string",""
"ZohoCRM","contact","Assistant","","None",""
"ZohoCRM","contact","Asst_Phone","","None",""
"ZohoCRM","contact","Created_By.email","","string",""
"ZohoCRM","contact","Created_By.id","","string",""
"ZohoCRM","contact","Created_By.name","","string",""
"ZohoCRM","contact","Created_Time","","string",""
"ZohoCRM","contact","Date_of_Birth","","None",""
"ZohoCRM","contact","Department","","string",""
"ZohoCRM","contact","Description","","None",""
"ZohoCRM","contact","Email","","string",""
"ZohoCRM","contact","Email_Opt_Out","","boolean",""
"ZohoCRM","contact","Enrich_Status__s","","None",""
"ZohoCRM","contact","Fax","","None",""
"ZohoCRM","contact","First_Name","","string",""
"ZohoCRM","contact","Full_Name","","string",""
"ZohoCRM","contact","Home_Phone","","None",""
"ZohoCRM","contact","Last_Activity_Time","","string",""
"ZohoCRM","contact","Last_Enriched_Time__s","","None",""
"ZohoCRM","contact","Last_Name","","string",""
"ZohoCRM","contact","Lead_Source","","string",""
"ZohoCRM","contact","Mailing_City","","string",""
"ZohoCRM","contact","Mailing_Country","","string",""
"ZohoCRM","contact","Mailing_State","","string",""
"ZohoCRM","contact","Mailing_Street","","string",""
"ZohoCRM","contact","Mailing_Zip","","string",""
"ZohoCRM","contact","Mobile","","string",""
"ZohoCRM","contact","Modified_By.email","","string",""
"ZohoCRM","contact","Modified_By.id","","string",""
"ZohoCRM","contact","Modified_By.name","","string",""
"ZohoCRM","contact","Modified_Time","","string",""
"ZohoCRM","contact","Other_City","","None",""
"ZohoCRM","contact","Other_Country","","None",""
"ZohoCRM","contact","Other_Phone","","None",""
"ZohoCRM","contact","Other_State","","None",""
"ZohoCRM","contact","Other_Street","","None",""
"ZohoCRM","contact","Other_Zip","","None",""
"ZohoCRM","contact","Owner.email","","string",""
"ZohoCRM","contact","Owner.id","","string",""
"ZohoCRM","contact","Owner.name","","string",""
"ZohoCRM","contact","Phone","","string",""
"ZohoCRM","contact","Record_Image","","string",""
"ZohoCRM","contact","Reporting_To","","None",""
"ZohoCRM","contact","Salutation","","None",""
"ZohoCRM","contact","Secondary_Email","","None",""
"ZohoCRM","contact","Skype_ID","","string",""
"ZohoCRM","contact","Title","","string",""
"ZohoCRM","contact","Twitter","","string",""
"ZohoCRM","contact","Unsubscribed_Mode","","None",""
"ZohoCRM","contact","Unsubscribed_Time","","None",""
"ZohoCRM","contact","id","","string",""
"ZohoCRM","deal","Account_Name.id","","string",""
"ZohoCRM","deal","Account_Name.name","","string",""
"ZohoCRM","deal","Assistant","","None",""
"ZohoCRM","deal","Asst_Phone","","None",""
"ZohoCRM","deal","Created_By.email","","string",""
"ZohoCRM","deal","Created_By.id","","string",""
"ZohoCRM","deal","Created_By.name","","string",""
"ZohoCRM","deal","Created_Time","","string",""
"ZohoCRM","deal","Date_of_Birth","","None",""
"ZohoCRM","deal","Department","","string",""
"ZohoCRM","deal","Description","","None",""
"ZohoCRM","deal","Email","","string",""
"ZohoCRM","deal","Email_Opt_Out","","boolean",""
"ZohoCRM","deal","Enrich_Status__s","","None",""
"ZohoCRM","deal","Fax","","None",""
"ZohoCRM","deal","First_Name","","string",""
"ZohoCRM","deal","Full_Name","","string",""
"ZohoCRM","deal","Home_Phone","","None",""
"ZohoCRM","deal","Last_Activity_Time","","string",""
"ZohoCRM","deal","Last_Enriched_Time__s","","None",""
"ZohoCRM","deal","Last_Name","","string",""
"ZohoCRM","deal","Lead_Source","","string",""
"ZohoCRM","deal","Mailing_City","","string",""
"ZohoCRM","deal","Mailing_Country","","string",""
"ZohoCRM","deal","Mailing_State","","string",""
"ZohoCRM","deal","Mailing_Street","","string",""
"ZohoCRM","deal","Mailing_Zip","","string",""
"ZohoCRM","deal","Mobile","","string",""
"ZohoCRM","deal","Modified_By.email","","string",""
"ZohoCRM","deal","Modified_By.id","","string",""
"ZohoCRM","deal","Modified_By.name","","string",""
"ZohoCRM","deal","Modified_Time","","string",""
"ZohoCRM","deal","Other_City","","None",""
"ZohoCRM","deal","Other_Country","","None",""
"ZohoCRM","deal","Other_Phone","","None",""
"ZohoCRM","deal","Other_State","","None",""
"ZohoCRM","deal","Other_Street","","None",""
"ZohoCRM","deal","Other_Zip","","None",""
"ZohoCRM","deal","Owner.email","","string",""
"ZohoCRM","deal","Owner.id","","string",""
"ZohoCRM","deal","Owner.name","","string",""
"ZohoCRM","deal","Phone","","string",""
"ZohoCRM","deal","Record_Image","","string",""
"ZohoCRM","deal","Reporting_To","","None",""
"ZohoCRM","deal","Salutation","","None",""
"ZohoCRM","deal","Secondary_Email","","None",""
"ZohoCRM","deal","Skype_ID","","string",""
"ZohoCRM","deal","Title","","string",""
"ZohoCRM","deal","Twitter","","string",""
"ZohoCRM","deal","Unsubscribed_Mode","","None",""
